,char_line
84,"jerry: (upset) ooohhhh, what are you doing? kramer, it's a tape! (actually i can't understand the name; maybe ""kramer"" wasn't named ""kramer"" in the pilot!) i taped the game, it's one o'clock in the morning! i avoided human contact all night to watch this."
85,"kramer: hey, i'm sorry, i...ya know, i, i thought you knew...(takes two loaves of bread out of his pockets) you got any meat?"
86,"jerry: (a little irritated) meat? i don't, i don't know, go...hunt! (kramer walks to the refrigerator and sticks his head in) well what, what happened in the game anyway?"
87,"kramer: (still with his head in the refrigerator) what happened? well, they stunk, that's what happened! (takes some meat from the refrigerator and closes it) ya know, i almost wound up going to that game."
88,jerry: (cynical) yeah you almost went to the game. you haven't been out of the building in ten years!
89,"kramer: yeah. (jerry sits down on the couch. kramer sits down next to him and starts turning over the pages of a magazine. suddenly he spots an article he likes and tears it out. jerry looks at him with a ""what-the-h...-are-you-doing-look"" and kramer asks:) are you done with this?"
91,"kramer: (glues the article back with his own saliva and puts the magazine back on the table) when you're done, let me know."
92,"jerry: yeah, yeah...you can have it tomorrow."
93,kramer: i thought i wasn't allowed to be in here this weekend.
94,"jerry: no, it's ok now, that, that girl is not comin' uh, i, i misread the whole thing."
95,kramer: you want me to talk to her?
96,jerry: i don't think so.
97,"kramer: oh, i can be very persuasive. do you know that i was almost... a lawyer. (shows with his fingers how close it was)"
98,"jerry: that close, huh?"
99,kramer: you better believe it. (the phone rings. jerry picks it up)
100,"jerry: hello...oh, hi, laura."
101,kramer: give me it...let me talk to her (continues this way).
102,"jerry: (gestures kramer to shut up) no believe me, i'm always up at this hour. how are you?...great...sure...what time does the plane get in?...i got my friend george to take me...(kramer suddenly notices something in the mets-game on"
103,kramer: a slide!...wow!
104,"jerry: ...no, it's, it's just my neighbour...uhm...yeah, i got it (takes a pencil and a cereal box to write on) ten-fifteen...no, don't be silly, go ahead and ask...yeah, sure...ok, great, no no, it's no trouble at all...i'll see you tomorrow...great, bye. (hangs up the phone; to kramer:) i, i don't believe it...that, that was her. she wants to stay here! (jerry's apartment. jerry and george enter, lifting a heavy mattress)"
105,"jerry: if my father was moving this he'd had to have a cigarette in his mouth the whole way. (talks from now on like he has a cigarette in his mouth) have you got your end?...your end's got to come down first, easy now, drop it down...drop it down, your end's got to come down."
106,"george: ya know, i can't believe you're bringin' in an extra bed for woman, that wants to sleep with you. why don't you bring in an extra guy too? (sits down)"
107,"jerry: (hands george a beer) look, it's a very awkward situation, i, i don't wanna be presumptuous."
108,"george: all right, all right, one more time, one more time! what was the exact phrasing of the request?"
109,"jerry: all right, she said she couldn't find a decent hotel- room..."
110,george: a decent hotel-room...
111,"jerry: yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place."
112,"george: you can't be serious. this is new york city: there must be eleven million decent hotel-rooms! whatta ya need? a flag? (waves with his handkerchief) this is the signal, jerry, this is the signal!"
113,"jerry: (cynical) this is the signal. thank you, mister signal, where were you yesterday?"
114,"george: i think i was affected by the caffeine. (suddenly a dog enters the apartment and jumps george at the couch) ho, ho, ho, good dog (etc.)"
115,"kramer: (walks in behind the dog and closes the door) he really likes you, george."
116,"george: (ironically) well, that's flattering."
117,"kramer: (the dog runs to the bathroom and apparently starts drinking from the toilet) oh, he's getting' a drink of water. (sees the mattress on the floor) is this for that girl?"
119,kramer: why even give her an option?
120,"jerry: this is a person i like, it's not: ""how to score on spring break""."
121,"george: right, can we go? 'cause i'm double-parked, i'm gonna get a ticket."
122,"jerry: yeah, ok. oh, wait a second. oh, i, i forgot to clean the bathroom."
123,george: so what? that's good.
124,"jerry: now, how could that be good?"
125,"george: because filth is good...whatta you think: rock stars have sponges and ammonia lyin' around the bathroom? they, they have a woman comin' over: ""i've gotta tidy up? yeah right, in these matters you never do what your instincts tell you. always, always do the opposite."
126,jerry: this is how you operate?
127,"george: yeah, i wish."
128,jerry: let me just wipe the sink.
129,"kramer: (stands up from the couch and yells.) why even give her an option for? (jerry walks to the bathroom and closes the door; to george, while pointing to the mattress) it's unbelievable."
131,kramer: ...how's the real estate-business?
132,"george: ...(surprised he asked) it's uh, not bad, it's comin' along...why? did you need something."
133,kramer: do you handle any of that commercial...real estate?
134,"george: well, i might be getting in to that."
135,kramer: (slaps george on the arm) you keep me posted!
136,"george: i'm aware of you, all right, let's go (opens the bathroom door), let's go! (jerry and the dog come out) you're on stage in 25 minutes. (comedy club.)"
137,"jerry: the dating world is not a fun world...it's a pressure world, it's a world of tension, it's a world of pain...and ya know, if a woman comes over to my house, i gotta get that bathroom ready, 'cause she needs things. women need equipment. i don't know what they need. i know i don't have it, i know that...ya know what they need, women seem to need a lot of cotton-balls. this is the one i'm, always has been one of the amazing things to me...i have no cotton-balls, we're all human beings, what is the story? i've never had one...i never bought one, i never needed one, i've never been in a situation, when i thought to myself: ""i could use a cotton-ball right now""...i can certainly get out of this mess...women need them and they don't need one or two, they need thousands of them, they need bags, they're like peat-moss bags, have you ever seen these giant bags? they're huge and two days later, they're out, they're gone, the, the bag is empty, where are the cotton-balls, ladies? what are you doin' with them? the only time i ever see'em is in the bottom of your little waste basket, there's two or three, that look like they've been through some horrible experience... tortured, interrogated, i don't know what happened to them...i once went out with a girl who's left a little zip-lock-baggy of cotton-balls over my house. i don't know what to do with them, i took them out, i put them on my kitchen floor like little tumbleweeds. i thought maybe the cockroaches would see it, figure this is a dead town: ""let's move on""... the dating world is a world of pressure. let's face it: a date is a job-interview, that lasts all night. the only difference between a date and a job-interview is: not many job-interviews is there a chance you'll end up naked at the end of it...ya know: ""well, bill, the boss thinks you're the man for the position, why don't you strip down and meet some of the people you'll be workin' with?"". (airport. jerry and george are waiting for laura)"
138,jerry: wouldn't it be great if you could ask a woman what she's thinking?
139,"george: what a world that would be, if you just could ask a woman what she's thinkin'."
140,"jerry: ya know, instead, i'm like a detective: i've gotta pick up clues, the whole thing is a murder investigation."
141,"george: listen, listen, don't get worked up, 'cause you're gonna know the whole story the minute she steps off the plane."
142,jerry: really? how?
143,george: 'cause it's all in the greeting.
144,jerry: uh-huh.
145,"george: all right, if she puts the bags down before she greets you, that's a good sign."
146,jerry: right.
147,"george: ya know, anything in the, in the ""lip-area"" is good."
148,"jerry: ""lip-area""."
149,george: ya know a hug: definitely good.
150,jerry: hug is definitely good.
151,george: sure.
152,"jerry: although what if it's one of those hugs where the shoulders are touching, the hips are eight feet apart?"
153,"george: that's so brutal, i hate that."
154,jerry: ya know how they do that?
155,"george: that's why, ya know, a shake is bad."
156,"jerry: shake is bad, but what if it's the ""two-hander""? the hand on the bottom, the hand on the top, the warm look in the eyes?"
157,george: hand-sandwich.
159,"george: i see, well, that's open to interpretation. because so much depends on the layering and the quality of the wetness in the eyes...(suddenly a woman approaches jerry from behind and puts her hands over jerry's eyes)"
160,laura: guess who?
161,"jerry: hey, hey."
162,jerry: it's good to see you.
163,laura: hi.
164,jerry: this is my friend george.
165,"laura: (shakes george's hand) hi, how nice to meet you."
166,"george: hi, how are you?"
167,jerry: this is laura.
168,"george: laura, sure."
169,jerry: (to laura) i can't believe you're here.
170,"laura: oh, thank you."
171,"jerry: (privately to george) now that was an interesting greeting, did you notice that, george?"
172,"george: yes, the ""surprise-blindfold-greeting"". that wasn't in the manual, i don't know. (jerry's apartment. jerry shows laura the apartment)"
173,"jerry: so uh, what do ya think?"
174,"laura: ooohhh, wow! this place isn't so bad."
175,"jerry: yeah, it kind a motivates me to work on the road...so uh, make yourself at home. (laura sits down on the couch, takes off her shoes and opens some buttons of her shirt) so uh, can i get you anything? uuhhh, bread, water...salad-dressing?"
176,"laura: (laughs) actually uhm, do you have any wine? jerry; uh, yeah, i think i do."
177,"laura: oh, do, do you mind if i turn this down? (points to the lamp)"
178,"jerry: uh, no, yeah, go right ahead. (she turns down the lamp)"
179,"laura: uh, jerry, uh, i was wondering: would it be possible, and if it's not, fine, for me to stay here tomorrow night too?"
180,"jerry: uh, yeah, yeah, sure, why don't you stay? yeah, uhm...what is your, what is your schedule for tomorrow? are you, are you doin' anything?"
181,"laura: no, i'd love to do something, uh, i have my seminar in the morning, then after that i'm right open."
182,jerry: really? what would you like to do?
183,"laura: well...now i know this sounds touristy, but i'd just love to go on one of those five-hour-boat-rides around manhattan."
184,"jerry: (doubtfully) yeah, we could do that...why not, why not. (pours the wine) i'm just, i'm really glad you're here. (the phone rings; he picks it up) yeah, hello...yes...yes, she is, hold on. (to laura) uhm, it's for you."
185,"laura: (she takes the phone) hello?...hi!...no no it was great, right on time...no, i, i'm gonna stay here tomorrow...yes, yes it's fine..no, we're goin' on a boat-ride...don't be silly...i'm not gonna have this conversation...look i, i'll call you tomorrow...ok, bye (she hangs up the phone). never get engaged."
186,jerry: you're engaged?
187,"laura: you, you really have no idea what it's like until you actually do it and i'm on this emotional roller coaster."
188,jerry: you're engaged? (still can't believe it)
189,"laura: ya know, i can't believe it myself sometimes. you have to start thinking in terms of ""we"", uh, it's a very stressful situation."
190,jerry: you're engaged! (like he's answering his own question)
191,"laura: yeah...yeah, he's a great guy..."
193,"laura: you'd really like him...ya know, i can't wait to get on that boat."
194,jerry: me too! (comedy club.)
195,"jerry: so, i'm on line at the supermarket. two women in front of me. one of them, her total was eight dollars, the other three dollars. they both of course choose to pay by the use of the (pause and gesture to audience for response)"
196,"jerry: cheque. now, the fact is, if it's a woman in front of you that's writing the cheque, you will not be waiting long. i have noticed that women are very *fast* with cheques, y'know, 'cuz they write out so many cheques. the keys, they can never find in their purse, they don't know where that is, but the cheque book they got that. they never fumble for book from an imaginary holster) ``who do i make it out to?... there's my id...''. there's something about a cheque that, to a man, is not masculine. i don't know exactly what it is... i think to a man, a cheque is like a note from your mother that says ``i don't have any money, but if you'll contact these people, i'm sure they'll stick up for me... if you just trust me this one time i don't have any money but i have these... i wrote on these; is this of any value at all?'' (end stand-up)"
197,jerry: what's that one?
198,"elaine: ""coccoon ii: the return"". i guess they didn't like it up there..."
199,"jerry: maybe they came back for chinese food. y'know maureen stapleton, if she gets a craving, she's probably screamin' at those aliens, ""i gotta have a lo mein!"""
200,"elaine: okay, what're we doing here? i have seen *everything*."
201,jerry: oh yeah? i don't believe you've seen... this.
202,"elaine: oh, lovely..."
203,jerry: yeah...
204,elaine: what do you think their parents think?
205,"jerry: ""so, uh, what's your son doing now, dr. stevens?"" ""oh, he's a public fornicator. yes, he's a fine boy..."""
206,elaine: y'know what? this would be a really funny gift for pamela's birthday.
207,jerry: pamela? do i know her?
208,"elaine: yeah, you met her when we were going out."
209,"jerry: oh yeah, right..."
210,"elaine: you have *no* idea who i'm talking about, do you?"
211,jerry: (quickly) no.
212,elaine: blonde hair remember? glasses? (pause) have you *totally* blocked out the entire time we were a couple?
213,jerry: riverside drive.
214,"elaine: right! in fact... no, never mind..."
215,"jerry: well, what is it?"
216,"elaine: well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... you don't want to go to... that... no."
217,"jerry: wait a second, wait a second. we could work out a little deal here."
218,elaine: what little deal?
219,"jerry: i will go to that, if you go with me to a little family wedding i have on saturday."
220,"elaine: a *wedding*!? have you *lost* it, man?"
221,"jerry: y'know, my parents are coming in for this..."
222,elaine: they're coming in?
223,"jerry: yeah, tomorrow."
224,"elaine: hey, did your father ever get that hair weave?"
225,"jerry: no, no... still doin' the big *sweep* across."
226,elaine: why does he do that?
227,jerry: doesn't think anyone can tell?
228,"jerry: so c'mon, do we have a deal?"
229,elaine: a *wedding*?
230,jerry: there's a lot of people to mock...
231,"elaine: alright, what the hell."
232,jerry: great!
233,"woman: when you're dead, you're dead. that's it. you're not goin' anywhere..."
234,"elaine: c'mon lets go, c'mon..."
235,jerry: was i supposed to bring something?
236,elaine: you could have.
237,jerry: i met her *one* time...
238,elaine: it is not necessary.
239,jerry: what did you say then?
240,elaine: sssshhhhhh!!!
241,"elaine: hi pamela, you remember jerry."
242,"jerry: hi, happy birthday."
243,jerry: i didn't bring anything.
244,"jerry: oh, okay (turns to rest of table) i'm sorry, i didn't know what to bring, nobody told me."
245,vanessa: how big a tip do you think it'd take to get him to stop?
246,jerry: i'm in for five...
247,vanessa: i'll supply the hat.
248,jerry: (to himself) uh-oh... what do we have here...
249,vanessa: why don't you relax and take your jacket off?
250,"jerry: oh, i can't-- i have a tendency to get chilly."
251,vanessa: how masculine...
252,"jerry: plus i'm wearing short sleeves, i don't want to expose my tattoos. (to himself) she's unbelievable!"
253,"vanessa: oh, you know bricker! from where?"
254,"jerry: (to himself) what's going on here? gotta be her boyfriend, she's too good to be alone... what's the difference, i can't maneuver anyway with elaine next to me..."
255,vanessa: (to jerry) how do you know pamela?
256,jerry: friend of a friend. and you?
257,vanessa: we went to law school together.
258,"elaine: oh, jerry!"
259,"jerry: (to himself) oh no, not *now*..."
260,elaine: i had this dream last night and you were in it.
261,"jerry: oh really... (to himself) oh god, i gotta get out of this..."
262,"elaine: you were you, but, you weren't you..."
263,"jerry: no kidding... (to himself) why is this happening? please, make her stop!"
264,"elaine: i think, i think we were in my house where i grew up, and you were standing there, you were looking out the window--"
265,jerry: (to himself) this is *brutal*...
266,elaine: you turned around and you had these wooden teeth...
267,"jerry: how do you like that... (to himself) can i turn now? is this over? no, i can't, i can't... i'm stuck..."
268,elaine: jerry? are you listening to me?
269,"jerry: yes, i *heard* you."
270,"jerry: (to himself) thank *you*, pamela!"
271,"jerry: (to vanessa) so, you're a lawyer..."
272,"vanessa: sagman, bennet, robbins, oppenheim and taft."
273,"jerry: (to himself, quickly) sagman, bennet, robbins, oppenheim and taft. sagman, bennet, robbins, oppenheim and taft... (to vanessa) of course, they handled my tattoo removal lawsuit!"
274,"vanessa: oh, that was you!"
275,"jerry: imagine, spelling ""mom"" with two o's..."
276,vanessa: very funny! what do you do?
277,jerry: comedian.
278,vanessa: really... that explains it...
279,"jerry: (to himself, quickly) sagman, bennet, robbins, oppenheim and taft. sagman, bennet, robbins, oppenheim and taft."
280,vanessa: we gotta run. happy birthday!
281,jerry: (to himself) i can't believe it-- i got *nothing*! i don't even know her name!
282,"jerry: (to himself, *very* quickly) sagman, bennet, robbins, oppenheim and taft. sagman, bennet, robbins, oppen... sagman... sag..."
283,"jerry: that wasn't so bad, really..."
284,"elaine: y'know, uh, you could use a little work on your manners."
285,jerry: why? what did i do?
286,"elaine: well, i just don't appreciate these little ""courtesy responses"", like i'm selling you aluminum siding."
287,jerry: i was listening!
288,"elaine: no! you couldn't wait to get back to your little... ""conversation""."
289,"jerry: no, you were talking about the, the um, the dream you had."
290,elaine: uh-huh...
291,"jerry: where you had, uh, wooden teeth."
292,"elaine: no! no! *you* had wooden teeth! *you* had wooden teeth! *i* didn't have wooden teeth, *you* did!"
293,"jerry: alright, so *i* had wooden teeth, so what?"
294,elaine: so nothing... nothing...
295,"jerry: apparently plato, who came up with the concept of the platonic relationship, was pretty excited about it. he named it after himself. he said ``yeah, i got this new thing-- ""platonic"". my idea, my name, callin' it after myself... what i do is, i go *out* with the girls, i *talk* with them-- don't *do* anything... and go right home. what'dya think? i think it's going to be *big*!'' i bet you there were other guys in history that tried to get relationships named after them, but it didn't work. y'know, i bet rico. would you like to go to bed immediately? hey, it's a *""riconic""* relationship...''"
296,jerry: hey!
297,"morty: ah, there he is!"
298,"jerry: this is what i like, see? you come home and your parents are in your bed!"
299,"helen: y'know, jerry, we don't have to do this..."
300,"jerry: what are you talkin' about? it's fine, i love having you here..."
301,helen: tomorrow we'll go to a hotel.
302,"jerry: ma, will you stop?"
303,"helen: no, why should we take over your apartment?"
304,jerry: i don't care-- i'm sleeping next door.
305,helen: your friend kramer doesn't mind?
306,"jerry: no, he's making a bouillabaisse."
307,"jerry: so dad, lemme ask you a question. how many people work at these big law offices?"
308,morty: depends on the firm.
309,"jerry: yeah, but if you called up and described someone, do you think they would know who it was?"
310,morty: what's the matter? you need a lawyer?
311,"jerry: no, i met someone at this party, and i know where she works, but i don't know her name."
312,morty: so why don't you ask someone who was at the party?
313,"jerry: nah, the only one i could ask is elaine, and i can't ask her."
315,jerry: because it's complicated-- there's some tension there.
316,helen: he used to go with her...
317,helen: which one is she?
318,morty: from maryland. the one who brought you the chocolate covered cherries you didn't like.
319,"morty: oh yeah, very alert. warm person."
320,"jerry: oh yeah, she's great."
321,"helen: so, how come nothing materialized there?"
322,"jerry: well, it's a tough thing to talk about... i dunno..."
323,helen: i know what it was...
324,jerry: you don't know what it was...
325,"helen: so, what was it?"
326,"jerry: well, we fight a lot for some reason..."
327,jerry: and there was a little problem with the physical chemistry...
328,"helen: well, i think she's a very attractive girl."
329,"jerry: oh, she is, she absolutely is."
330,helen: i can see if there was a *weight* problem...
331,"jerry: no, it's not that. it wasn't all one-sided."
332,"helen: you know, you can't be so particular. nobody's perfect."
333,"jerry: i know, i know..."
334,"morty: y'know jerry, it's a good thing i wasn't so particular."
335,"helen: idiot... (to jerry) so who're you looking for, sophia loren?"
336,jerry: that's got *nothin'* to do with it.
337,morty: how about loni anderson?
338,helen: where do you get loni anderson?
339,"morty: why, what's wrong with loni anderson?"
340,helen: i like *elaine* more than loni anderson...
341,"jerry: what are you two talking about? look, elaine just wasn't ""the one""."
342,"helen: and this other one's ""the one""?"
343,"jerry: i dunno, maybe..."
344,morty: so ask elaine there for the number.
345,"jerry: i can't-- she'll get upset. i never talk about other women with her, especially this one tonight."
346,helen: how could you still see her if your not interested?
347,jerry: we're *friends*.
348,morty: doesn't sound like you're friends to me. if you were friends you'd ask her for the number. do you know where this other one works?
349,jerry: oh yeah...
350,"morty: well, go up to the office."
351,helen: up to her office?
352,"morty: go to the building. she goes out to lunch, doesn't she?"
353,jerry: i guess...
354,"morty: so, you stand in the lobby, by the elevator, and wait for her to come down for lunch."
355,"jerry: you mean ""stakeout"" the lobby?"
356,"helen: morty, that's ridiculous. just ask elaine for the number!"
357,morty: he doesn't want to ask elaine for the number.
358,helen: so you've got him standing by the elevator like a *dope*! what happens when he sees her?
359,morty: he pretends he *bumped* into her!
360,jerry: y'know what? this is *not* that *bad* an idea...
361,george: what does she look like?
362,jerry: i dunno. hard to say.
363,george: what actress does she remind you of?
364,jerry: loni anderson.
365,george: loni anderson?!
366,"jerry: what, there's something wrong with loni anderson?"
367,"jerry: hey listen, thanks again for running over here. i appreciate it."
368,"george: yeah, sure. i was showing a condo on 48th st. besides, you think i wanna miss this?"
369,jerry: i'm a little nervous.
370,"george: yeah, me too..."
371,"jerry: if i see her, what do i say that i'm doing here in the building?"
372,george: you came to see me; i work in the building.
373,jerry: what do you do?
374,george: i'm an *architect*.
375,jerry: you're an *architect*?
376,george: i'm not?
377,jerry: i don't see architecture comin from you...
378,george: i suppose *you* could be an architect...
379,jerry: i never said that i was the architect. just somethin' else...
380,"george: alright, she's not even gonna ask, if we *see* her, which is remote."
381,"jerry: well what'dya want me to say, that i just wandered in here?!"
382,george: we're having lunch with a friend-- he works in the building.
383,jerry: what is *his* name?
384,george: bert... har... bin... son. bert har-bin-son.
385,jerry: bert harbinson? it sounds made up.
386,"george: no good? alright, how about art... corr....."
387,jerry: art corr...
388,george: ...velay...
389,jerry: corvelay?
390,"george: yeah, right."
391,"jerry: well, what does *he* do?"
392,george: he's an importer.
393,"jerry: just imports, no exports?"
394,"george: he's an importer/exporter, okay?"
395,"george: say, did elaine ever call you back?"
396,"jerry: no, i guess she's still mad."
397,"george: i don't understand, you never talk to her about other women?"
398,jerry: never.
399,jerry: wait a second... that's her... on the right.
400,george: i forgot who i am! who am i?!
401,jerry: you're you. we're having lunch with art corvelay.
402,george: vandelay!
403,jerry: corvelay!
404,"george: let me be the architect, i can do it!"
405,"jerry: hey, hey... pamela's birthday party, didn't i see you there... jerry."
406,vanessa: sure! hi!
407,"jerry: this is george. (""grasps"" for her name) i'm sorry..."
408,vanessa: vanessa.
409,george: nice to meet you.
410,"jerry: ah, sagman, bennet, robbins, oppenheim and taft."
411,vanessa: that's right! what're you doing here?
412,"jerry: oh, were meeting a friend of ours for lunch. he works here in the building."
413,"george: yeah, art *vandelay*."
414,vanessa: really? which company?
415,jerry: i don't know. he's an importer.
416,vanessa: importer?
417,george: ...and exporter.
418,jerry: he's an importer/exporter.
419,"george: i'm, uh, i'm an architect."
420,vanessa: really. what do you design?
421,"george: uh, railroads, uh..."
422,vanessa: i thought engineers do that.
423,george: they can...
424,jerry: y'know i'm sorry you had to leave so early the other night.
425,"vanessa: oh, me too. my cousin had to go back to boston."
426,"jerry: oh, that guy was your *cousin*!"
427,"vanessa: yeah, and that woman was your--"
428,jerry: friend!
