,character,line
83,JERRY,"""Laundry-day"" is the only exciting day in the live of clothes. It is...no, think about it: the washing machine is the nightclub of clothes. Ya know, it's dark, there's bubbles happening, they're all kind a dancing around in there...shirt grabs the underwear: ""C'mon babe, let's gather"". You come by, you open up the lid and they'll: (shows how clothes are acting when you open the lid)...Socks are the most amazing article of clothing. They hate their lives, they're in the shoes with stinky feet, the boring drawers...the dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper, the night before: (sock's voice) ""Tomorrow, the dryer, I'm goin'...you wait here!"" The dryer-door swings open and the sock is waiting up against the side wall. They hope you don't see him and then he goes down the road (shows how the sock is going down the road). They got buttons sewed on their faces: join the puppet show...So they're showing me on television the detergent for getting out blood-stains...Is this a violent image to anybody? Blood-stains? I mean, I, come on, you got a T-shirt with blood-stains all over it, maybe laundry isn't your biggest problem right now...Maybe you oughta get the harpoon out your chest first. (Jerry's apartment. Jerry is watching TV)"
84,JERRY,"(The phone rings. He picks it up and says:) If you know what happened in the Mets-game, don't say anything, I taped it, hello... Yeah, no, I'm sorry, you have the wrong number...Yeah, no (somebody knocks at the door) Yeah? (to the door, while still at the phone)"
85,KRAMER,(enters) Are you up?
86,JERRY,"(To Kramer) Yeah...(in the phone) Yeah, people do move! Have you ever seen the big trucks out on the street? Yeah, no problem (hangs up the phone)."
87,KRAMER,"Boy, the Mets blew it tonight, huh?"
88,JERRY,"(upset) Ooohhhh, what are you doing? Kramer, it's a tape! (actually I can't understand the name; maybe ""Kramer"" wasn't named ""Kramer"" in the pilot!) I taped the game, it's one o'clock in the morning! I avoided human contact all night to watch this."
89,KRAMER,"Hey, I'm sorry, I...ya know, I, I thought you knew...(takes two loaves of bread out of his pockets) You got any meat?"
90,JERRY,"(a little irritated) Meat? I don't, I don't know, go...hunt! (Kramer walks to the refrigerator and sticks his head in) Well what, what happened in the game anyway?"
91,KRAMER,"(still with his head in the refrigerator) What happened? Well, they STUNK, that's what happened! (takes some meat from the refrigerator and closes it) Ya know, I almost wound up going to that game."
92,JERRY,(cynical) Yeah you almost went to the game. You haven't been out of the building in ten years!
93,KRAMER,"Yeah. (Jerry sits down on the couch. Kramer sits down next to him and starts turning over the pages of a magazine. Suddenly he spots an article he likes and tears it out. Jerry looks at him with a ""what-the-h...-are-you-doing-look"" and Kramer asks:) Are you done with this?"
94,JERRY,No.
95,KRAMER,"(glues the article back with his own saliva and puts the magazine back on the table) When you're done, let me know."
96,JERRY,"Yeah, yeah...you can have it tomorrow."
97,KRAMER,I thought I wasn't allowed to be in here this weekend.
98,JERRY,"No, it's OK now, that, that girl is not comin' uh, I, I misread the whole thing."
99,KRAMER,You want me to talk to her?
100,JERRY,I don't think so.
101,KRAMER,"Oh, I can be very persuasive. Do you know that I was almost... a lawyer. (shows with his fingers how close it was)"
102,JERRY,"That close, huh?"
103,KRAMER,You better believe it. (The phone rings. Jerry picks it up)
104,JERRY,"Hello...Oh, hi, Laura."
105,KRAMER,Give me it...let me talk to her (continues this way).
106,JERRY,"(gestures Kramer to shut up) No believe me, I'm always up at this hour. How are you?...great...sure...What time does the plane get in?...I got my friend George to take me...(Kramer suddenly notices something in the Mets-game on"
107,KRAMER,A SLIDE!...Wow!
108,JERRY,"...No, it's, it's just my neighbour...uhm...yeah, I got it (takes a pencil and a cereal box to write on) ten-fifteen...No, don't be silly, go ahead and ask...Yeah, sure...OK, great, no no, it's no trouble at all...I'll see you tomorrow...great, bye. (hangs up the phone; to Kramer:) I, I don't believe it...That, that was her. She wants to stay here! (Jerry's apartment. Jerry and George enter, lifting a heavy mattress)"
109,JERRY,"If my father was moving this he'd had to have a cigarette in his mouth the whole way. (talks from now on like he has a cigarette in his mouth) Have you got your end?...Your end's got to come down first, easy now, drop it down...drop it down, your end's got to come down."
110,GEORGE,"Ya know, I can't believe you're bringin' in an extra bed for woman, that wants to sleep with you. Why don't you bring in an extra guy too? (sits down)"
111,JERRY,"(hands George a beer) Look, it's a very awkward situation, I, I don't wanna be presumptuous."
112,GEORGE,"All right, all right, one more time, one more time! What was the EXACT phrasing of the request?"
113,JERRY,"All right, she said she couldn't find a decent hotel- room..."
114,GEORGE,A decent hotel-room...
115,JERRY,"Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place."
116,GEORGE,"You can't be serious. This is New York city: there must be eleven million decent hotel-rooms! Whatta ya need? A flag? (waves with his handkerchief) This is the signal, Jerry, this is the signal!"
117,JERRY,"(cynical) This is the signal. Thank you, mister Signal, where were you yesterday?"
118,GEORGE,"I think I was affected by the caffeine. (suddenly a dog enters the apartment and jumps George at the couch) HO, HO, HO, GOOD DOG (etc.)"
119,KRAMER,"(walks in behind the dog and closes the door) He really likes you, George."
120,GEORGE,"(ironically) Well, that's flattering."
121,KRAMER,"(the dog runs to the bathroom and apparently starts drinking from the toilet) Oh, he's getting' a drink of water. (sees the mattress on the floor) Is this for that girl?"
122,JERRY,Yeah.
123,KRAMER,Why even give her an option?
124,JERRY,"This is a person I like, it's not: ""How to score on spring break""."
125,GEORGE,"Right, can we go? 'Cause I'm double-parked, I'm gonna get a ticket."
126,JERRY,"Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the bathroom."
127,GEORGE,So what? That's good.
128,JERRY,"Now, how could that be good?"
129,GEORGE,"Because filth is good...Whatta you think: rock stars have sponges and ammonia lyin' around the bathroom? They, they have a woman comin' over: ""I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite."
130,JERRY,This is how you operate?
131,GEORGE,"Yeah, I wish."
132,JERRY,Let me just wipe the sink.
133,KRAMER,"(stands up from the couch and yells.) WHY EVEN GIVE HER AN OPTION FOR? (Jerry walks to the bathroom and closes the door; to George, while pointing to the mattress) It's unbelievable."
134,GEORGE,Yeah.
135,KRAMER,...How's the real estate-business?
136,GEORGE,"...(surprised he asked) It's uh, not bad, it's comin' along...Why? Did you need something."
137,KRAMER,Do you handle any of that commercial...real estate?
138,GEORGE,"Well, I might be getting in to that."
139,KRAMER,(slaps George on the arm) You keep me posted!
140,GEORGE,"I'm aware of you, all right, let's go (opens the bathroom door), let's go! (Jerry and the dog come out) You're on stage in 25 minutes. (Comedy club.)"
141,JERRY,"The dating world is not a fun world...it's a pressure world, it's a world of tension, it's a world of pain...and ya know, if a woman comes over to my house, I gotta get that bathroom ready, 'cause she needs things. Women need equipment. I don't know what they need. I know I don't have it, I know that...Ya know what they need, women seem to need a lot of cotton-balls. This is the one I'm, always has been one of the amazing things to me...I have no cotton-balls, we're all human beings, what is the story? I've never had one...I never bought one, I never needed one, I've never been in a situation, when I thought to myself: ""I could use a cotton-ball right now""...I can certainly get out of this mess...Women need them and they don't need one or two, they need thousands of them, they need bags, they're like peat-moss bags, have you ever seen these giant bags? They're huge and two days later, they're out, they're gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin' with them? The only time I ever see'em is in the bottom of your little waste basket, there's two or three, that look like they've been through some horrible experience... tortured, interrogated, I don't know what happened to them...I once went out with a girl who's left a little zip-lock-baggy of cotton-balls over my house. I don't know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town: ""Let's move on""... The dating world is a world of pressure. Let's face it: a date is a job-interview, that lasts all night. The only difference between a date and a job-interview is: not many job-interviews is there a chance you'll end up naked at the end of it...ya know: ""Well, Bill, the boss thinks you're the man for the position, why don't you strip down and meet some of the people you'll be workin' with?"". (Airport. Jerry and George are waiting for Laura)"
142,JERRY,Wouldn't it be great if you could ask a woman what she's thinking?
143,GEORGE,"What a world that would be, if you just could ask a woman what she's thinkin'."
144,JERRY,"Ya know, instead, I'm like a detective: I've gotta pick up clues, the whole thing is a murder investigation."
145,GEORGE,"Listen, listen, don't get worked up, 'cause you're gonna know the whole story the minute she steps off the plane."
146,JERRY,Really? How?
147,GEORGE,'Cause it's all in the greeting.
148,JERRY,Uh-huh.
149,GEORGE,"All right, if she puts the bags down before she greets you, that's a good sign."
150,JERRY,Right.
151,GEORGE,"Ya know, anything in the, in the ""lip-area"" is good."
152,JERRY,"""Lip-area""."
153,GEORGE,Ya know a hug: definitely good.
154,JERRY,Hug is definitely good.
155,GEORGE,Sure.
156,JERRY,"Although what if it's one of those hugs where the shoulders are touching, the hips are eight feet apart?"
157,GEORGE,"That's so brutal, I hate that."
158,JERRY,Ya know how they do that?
159,GEORGE,"That's why, ya know, a shake is bad."
160,JERRY,"Shake is bad, but what if it's the ""two-hander""? The hand on the bottom, the hand on the top, the warm look in the eyes?"
161,GEORGE,Hand-sandwich.
162,JERRY,Right.
163,GEORGE,"I see, well, that's open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes...(suddenly a woman approaches Jerry from behind and puts her hands over Jerry's eyes)"
164,LAURA,Guess who?
165,JERRY,"Hey, hey."
166,LAURA AND JERRY,Heeeey! (they take each others hands like they're planning to do a folk dance; George is looking puzzled)
167,JERRY,It's good to see you.
168,LAURA,Hi.
169,JERRY,This is my friend George.
170,LAURA,"(shakes George's hand) Hi, how nice to meet you."
171,GEORGE,"Hi, how are you?"
172,JERRY,This is Laura.
173,GEORGE,"Laura, sure."
174,JERRY,(to Laura) I can't believe you're here.
175,GEORGE AND JERRY,"Ooh yeah, the bags, sure. (they pick up the bags)"
176,LAURA,"Oh, thank you."
177,JERRY,"(privately to George) Now that was an interesting greeting, did you notice that, George?"
178,GEORGE,"Yes, the ""surprise-blindfold-greeting"". That wasn't in the manual, I don't know. (Jerry's apartment. Jerry shows Laura the apartment)"
179,JERRY,"So uh, what do ya think?"
180,LAURA,"Ooohhh, wow! This place isn't so bad."
181,JERRY,"Yeah, it kind a motivates me to work on the road...So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?"
182,LAURA,"(laughs) Actually uhm, do you have any wine? JERRY; Uh, yeah, I think I do."
183,LAURA,"Oh, do, do you mind if I turn this down? (points to the lamp)"
184,JERRY,"Uh, no, yeah, go right ahead. (she turns down the lamp)"
185,LAURA,"Uh, Jerry, uh, I was wondering: would it be possible, and if it's not, fine, for me to stay here tomorrow night too?"
186,JERRY,"Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin' anything?"
187,LAURA,"No, I'd love to do something, uh, I have my seminar in the morning, then after that I'm right open."
188,JERRY,Really? What would you like to do?
189,LAURA,"Well...now I know this sounds touristy, but I'd just love to go on one of those five-hour-boat-rides around Manhattan."
190,JERRY,"(doubtfully) Yeah, we could do that...why not, why not. (pours the wine) I'm just, I'm really glad you're here. (the phone rings; he picks it up) Yeah, hello...yes...yes, she is, hold on. (to Laura) Uhm, it's for you."
191,LAURA,"(she takes the phone) Hello?...Hi!...no no it was great, right on time...no, I, I'm gonna stay here tomorrow...yes, yes it's fine..no, we're goin' on a boat-ride...don't be silly...I'm not gonna have this conversation...look I, I'll call you tomorrow...OK, bye (she hangs up the phone). Never get engaged."
192,JERRY,You're engaged?
193,LAURA,"You, you really have no idea what it's like until you actually do it and I'm on this emotional roller coaster."
194,JERRY,You're engaged? (still can't believe it)
195,LAURA,"Ya know, I can't believe it myself sometimes. You have to start thinking in terms of ""we"", uh, it's a very stressful situation."
196,JERRY,You're engaged! (like he's answering his own question)
197,LAURA,"Yeah...yeah, he's a great guy..."
198,JERRY,Yeah.
199,LAURA,"You'd really like him...ya know, I can't wait to get on that boat."
200,JERRY,Me too! (Comedy club.)
0,JERRY,"So, I'm on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the (pause and gesture to audience for response)"
1,AUDIENCE,Cheque
2,JERRY,"Cheque. Now, the fact is, if it's a woman in front of you that's writing the cheque, you will not be waiting long. I have noticed that women are very *fast* with cheques, y'know, 'cuz they write out so many cheques. The keys, they can never find in their purse, they don't know where that is, but the cheque book they got that. They never fumble for book from an imaginary holster) ``Who do I make it out to?... There's my ID...''. There's something about a cheque that, to a man, is not masculine. I don't know exactly what it is... I think to a man, a cheque is like a note from your mother that says ``I don't have any money, but if you'll contact these people, I'm sure they'll stick up for me... If you just trust me this one time I don't have any money but I have these... I wrote on these; is this of any value at all?'' (End stand-up)"
3,JERRY,What's that one?
4,ELAINE,"""Coccoon II: The Return"". I guess they didn't like it up there..."
5,JERRY,"Maybe they came back for Chinese food. Y'know Maureen Stapleton, if she gets a craving, she's probably screamin' at those aliens, ""I gotta have a Lo mein!"""
6,ELAINE,"Okay, what're we doing here? I have seen *everything*."
7,JERRY,Oh yeah? I don't believe you've seen... this.
8,ELAINE,"Oh, lovely..."
9,JERRY,Yeah...
10,ELAINE,What do you think their parents think?
11,JERRY,"""So, uh, what's your son doing now, Dr. Stevens?"" ""Oh, he's a public fornicator. Yes, he's a fine boy..."""
12,ELAINE,Y'know what? This would be a really funny gift for Pamela's birthday.
13,JERRY,Pamela? Do I know her?
14,ELAINE,"Yeah, you met her when we were going out."
15,JERRY,"Oh yeah, right..."
16,ELAINE,"You have *no* idea who I'm talking about, do you?"
17,JERRY,(quickly) No.
18,ELAINE,Blonde hair remember? Glasses? (pause) Have you *totally* blocked out the entire time we were a couple?
19,JERRY,Riverside Drive.
20,ELAINE,"Right! In fact... No, never mind..."
21,JERRY,"Well, what is it?"
22,ELAINE,"Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... you don't want to go to... that... no."
23,JERRY,"Wait a second, wait a second. We could work out a little deal here."
24,ELAINE,What little deal?
25,JERRY,"I will go to that, if you go with me to a little family wedding I have on Saturday."
26,ELAINE,"A *wedding*!? Have you *lost* it, man?"
27,JERRY,"Y'know, my parents are coming in for this..."
28,ELAINE,They're coming in?
29,JERRY,"Yeah, tomorrow."
30,ELAINE,"Hey, did your father ever get that hair weave?"
31,JERRY,"No, no... Still doin' the big *sweep* across."
32,ELAINE,Why does he do that?
33,JERRY,Doesn't think anyone can tell?
34,JERRY,"So c'mon, do we have a deal?"
35,ELAINE,A *wedding*?
36,JERRY,There's a lot of people to mock...
37,ELAINE,"Alright, what the Hell."
38,JERRY,Great!
39,WOMAN,"When you're dead, you're dead. That's it. You're not goin' anywhere..."
40,ELAINE,"C'mon lets go, c'mon..."
41,JERRY,Was I supposed to bring something?
42,ELAINE,You could have.
43,JERRY,I met her *one* time...
44,ELAINE,It is not necessary.
45,JERRY,What did you say then?
46,ELAINE,Sssshhhhhh!!!
47,PAMELA,Hi
48,ELAINE,"Hi Pamela, you remember Jerry."
49,PAMELA,"Yes, we met."
50,JERRY,"Hi, happy birthday."
51,PAMELA,"Ahh, everybody, this is Elaine and Jerry."
52,GUESTS,Hi
53,JERRY,I didn't bring anything.
54,PAMELA,"Ahh, I put you two right here."
55,JERRY,"Oh, Okay (turns to rest of table) I'm sorry, I didn't know what to bring, nobody told me."
56,VANESSA,How big a tip do you think it'd take to get him to stop?
57,JERRY,I'm in for five...
58,VANESSA,I'll supply the hat.
59,JERRY,(To himself) Uh-oh... What do we have here...
60,VANESSA,Why don't you relax and take your jacket off?
61,JERRY,"Oh, I can't-- I have a tendency to get chilly."
62,VANESSA,How masculine...
63,JERRY,"Plus I'm wearing short sleeves, I don't want to expose my tattoos. (To himself) She's unbelievable!"
64,ROGER,"(To Vanessa) Hey, this guy says he knows Bricker..."
65,VANESSA,"Oh, you know Bricker! From where?"
66,JERRY,"(To himself) What's going on here? Gotta be her boyfriend, she's too good to be alone... What's the difference, I can't maneuver anyway with Elaine next to me..."
67,VANESSA,(To Jerry) How do you know Pamela?
68,JERRY,Friend of a friend. And you?
69,VANESSA,We went to law school together.
70,ELAINE,"Oh, Jerry!"
71,JERRY,"(To himself) Oh no, not *now*..."
72,ELAINE,I had this dream last night and you were in it.
73,JERRY,"Oh really... (To himself) Oh God, I gotta get out of this..."
74,ELAINE,"You were you, but, you weren't you..."
75,JERRY,"No kidding... (To himself) Why is this happening? Please, make her stop!"
76,ELAINE,"I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window--"
77,JERRY,(To himself) This is *brutal*...
78,ELAINE,You turned around and you had these wooden teeth...
79,JERRY,"How do you like that... (To himself) Can I turn now? Is this over? No, I can't, I can't... I'm stuck..."
80,ELAINE,Jerry? Are you listening to me?
81,JERRY,"Yes, I *heard* you."
82,PAMELA,"Elaine, what's the name of that jewelry store you took me to that time?"
83,JERRY,"(To himself) Thank *you*, Pamela!"
84,JERRY,"(To Vanessa) So, you're a lawyer..."
85,VANESSA,"Sagman, Bennet, Robbins, Oppenheim and Taft."
86,JERRY,"(To himself, quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft... (To Vanessa) Of course, they handled my tattoo removal lawsuit!"
87,VANESSA,"Oh, that was you!"
88,JERRY,"Imagine, spelling ""Mom"" with two O's..."
89,VANESSA,Very funny! What do you do?
90,JERRY,Comedian.
91,VANESSA,Really... That explains it...
92,JERRY,"(To himself, quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft."
93,ROGER,Are you ready?
94,VANESSA,We gotta run. Happy birthday!
95,JERRY,(To himself) I can't believe it-- I got *nothing*! I don't even know her name!
96,JERRY,"(To himself, *very* quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag..."
97,JERRY,"That wasn't so bad, really..."
98,ELAINE,"Y'know, uh, you could use a little work on your manners."
99,JERRY,Why? What did I do?
100,ELAINE,"Well, I just don't appreciate these little ""courtesy responses"", like I'm selling you aluminum siding."
101,JERRY,I was listening!
102,ELAINE,"No! You couldn't wait to get back to your little... ""conversation""."
103,JERRY,"No, you were talking about the, the um, the dream you had."
104,ELAINE,Uh-huh...
105,JERRY,"Where you had, uh, wooden teeth."
106,ELAINE,"No! No! *You* had wooden teeth! *You* had wooden teeth! *I* didn't have wooden teeth, *you* did!"
107,JERRY,"Alright, so *I* had wooden teeth, so what?"
108,ELAINE,So nothing... Nothing...
109,JERRY,"Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said ``Yeah, I got this new thing-- ""platonic"". My idea, my name, callin' it after myself... What I do is, I go *out* with the girls, I *talk* with them-- don't *do* anything... and go right home. What'dya think? I think it's going to be *big*!'' I bet you there were other guys in history that tried to get relationships named after them, but it didn't work. Y'know, I bet Rico. Would you like to go to bed immediately? Hey, it's a *""Riconic""* relationship...''"
110,JERRY,Hey!
111,MORTY,"Ah, there he is!"
112,JERRY,"This is what I like, see? You come home and your parents are in your bed!"
113,HELEN,"Y'know, Jerry, we don't have to do this..."
114,JERRY,"What are you talkin' about? It's fine, I love having you here..."
115,HELEN,Tomorrow we'll go to a hotel.
116,JERRY,"Ma, will you stop?"
117,HELEN,"No, why should we take over your apartment?"
118,JERRY,I don't care-- I'm sleeping next door.
119,HELEN,Your friend Kramer doesn't mind?
120,JERRY,"No, he's making a bouillabaisse."
121,JERRY,"So Dad, lemme ask you a question. How many people work at these big law offices?"
122,MORTY,Depends on the firm.
123,JERRY,"Yeah, but if you called up and described someone, do you think they would know who it was?"
124,MORTY,What's the matter? You need a lawyer?
125,JERRY,"No, I met someone at this party, and I know where she works, but I don't know her name."
126,MORTY,So why don't you ask someone who was at the party?
127,JERRY,"Nah, the only one I could ask is Elaine, and I can't ask her."
128,HELEN,Why not?
129,JERRY,Because it's complicated-- there's some tension there.
130,HELEN,He used to go with her...
131,HELEN,Which one is she?
132,MORTY,From Maryland. The one who brought you the chocolate covered cherries you didn't like.
133,MORTY,"Oh yeah, very alert. Warm person."
134,JERRY,"Oh yeah, she's great."
135,HELEN,"So, how come nothing materialized there?"
136,JERRY,"Well, it's a tough thing to talk about... I dunno..."
137,HELEN,I know what it was...
138,JERRY,You don't know what it was...
139,HELEN,"So, what was it?"
140,JERRY,"Well, we fight a lot for some reason..."
141,H + M,"Oh, well..."
142,JERRY,And there was a little problem with the physical chemistry...
143,HELEN,"Well, I think she's a very attractive girl."
144,JERRY,"Oh, she is, she absolutely is."
145,HELEN,I can see if there was a *weight* problem...
146,JERRY,"No, it's not that. It wasn't all one-sided."
147,HELEN,"You know, you can't be so particular. Nobody's perfect."
148,JERRY,"I know, I know..."
149,MORTY,"Y'know Jerry, it's a good thing I wasn't so particular."
150,HELEN,"Idiot... (To Jerry) So who're you looking for, Sophia Loren?"
151,JERRY,That's got *nothin'* to do with it.
152,MORTY,How about Loni Anderson?
153,HELEN,Where do you get Loni Anderson?
154,MORTY,"Why, what's wrong with Loni Anderson?"
155,HELEN,I like *Elaine* more than Loni Anderson...
156,JERRY,"What are you two talking about? Look, Elaine just wasn't ""the one""."
157,HELEN,"And this other one's ""the one""?"
158,JERRY,"I dunno, maybe..."
159,MORTY,So ask Elaine there for the number.
