,character,line
113,GEORGE,"All right, all right, one more time, one more time! What was the EXACT phrasing of the request?"
114,JERRY,"All right, she said she couldn't find a decent hotel- room..."
115,GEORGE,A decent hotel-room...
116,JERRY,"Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place."
117,GEORGE,"You can't be serious. This is New York city: there must be eleven million decent hotel-rooms! Whatta ya need? A flag? (waves with his handkerchief) This is the signal, Jerry, this is the signal!"
118,JERRY,"(cynical) This is the signal. Thank you, mister Signal, where were you yesterday?"
119,GEORGE,"I think I was affected by the caffeine. (suddenly a dog enters the apartment and jumps George at the couch) HO, HO, HO, GOOD DOG (etc.)"
120,KRAMER,"(walks in behind the dog and closes the door) He really likes you, George."
121,GEORGE,"(ironically) Well, that's flattering."
122,KRAMER,"(the dog runs to the bathroom and apparently starts drinking from the toilet) Oh, he's getting' a drink of water. (sees the mattress on the floor) Is this for that girl?"
123,JERRY,Yeah.
124,KRAMER,Why even give her an option?
125,JERRY,"This is a person I like, it's not: ""How to score on spring break""."
126,GEORGE,"Right, can we go? 'Cause I'm double-parked, I'm gonna get a ticket."
127,JERRY,"Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the bathroom."
128,GEORGE,So what? That's good.
129,JERRY,"Now, how could that be good?"
130,GEORGE,"Because filth is good...Whatta you think: rock stars have sponges and ammonia lyin' around the bathroom? They, they have a woman comin' over: ""I've gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite."
131,JERRY,This is how you operate?
132,GEORGE,"Yeah, I wish."
133,JERRY,Let me just wipe the sink.
134,KRAMER,"(stands up from the couch and yells.) WHY EVEN GIVE HER AN OPTION FOR? (Jerry walks to the bathroom and closes the door; to George, while pointing to the mattress) It's unbelievable."
135,GEORGE,Yeah.
136,KRAMER,...How's the real estate-business?
137,GEORGE,"...(surprised he asked) It's uh, not bad, it's comin' along...Why? Did you need something."
138,KRAMER,Do you handle any of that commercial...real estate?
139,GEORGE,"Well, I might be getting in to that."
140,KRAMER,(slaps George on the arm) You keep me posted!
141,GEORGE,"I'm aware of you, all right, let's go (opens the bathroom door), let's go! (Jerry and the dog come out) You're on stage in 25 minutes. (Comedy club.)"
142,JERRY,"The dating world is not a fun world...it's a pressure world, it's a world of tension, it's a world of pain...and ya know, if a woman comes over to my house, I gotta get that bathroom ready, 'cause she needs things. Women need equipment. I don't know what they need. I know I don't have it, I know that...Ya know what they need, women seem to need a lot of cotton-balls. This is the one I'm, always has been one of the amazing things to me...I have no cotton-balls, we're all human beings, what is the story? I've never had one...I never bought one, I never needed one, I've never been in a situation, when I thought to myself: ""I could use a cotton-ball right now""...I can certainly get out of this mess...Women need them and they don't need one or two, they need thousands of them, they need bags, they're like peat-moss bags, have you ever seen these giant bags? They're huge and two days later, they're out, they're gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin' with them? The only time I ever see'em is in the bottom of your little waste basket, there's two or three, that look like they've been through some horrible experience... tortured, interrogated, I don't know what happened to them...I once went out with a girl who's left a little zip-lock-baggy of cotton-balls over my house. I don't know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town: ""Let's move on""... The dating world is a world of pressure. Let's face it: a date is a job-interview, that lasts all night. The only difference between a date and a job-interview is: not many job-interviews is there a chance you'll end up naked at the end of it...ya know: ""Well, Bill, the boss thinks you're the man for the position, why don't you strip down and meet some of the people you'll be workin' with?"". (Airport. Jerry and George are waiting for Laura)"
143,JERRY,Wouldn't it be great if you could ask a woman what she's thinking?
144,GEORGE,"What a world that would be, if you just could ask a woman what she's thinkin'."
145,JERRY,"Ya know, instead, I'm like a detective: I've gotta pick up clues, the whole thing is a murder investigation."
146,GEORGE,"Listen, listen, don't get worked up, 'cause you're gonna know the whole story the minute she steps off the plane."
147,JERRY,Really? How?
148,GEORGE,'Cause it's all in the greeting.
149,JERRY,Uh-huh.
150,GEORGE,"All right, if she puts the bags down before she greets you, that's a good sign."
151,JERRY,Right.
152,GEORGE,"Ya know, anything in the, in the ""lip-area"" is good."
153,JERRY,"""Lip-area""."
154,GEORGE,Ya know a hug: definitely good.
155,JERRY,Hug is definitely good.
156,GEORGE,Sure.
157,JERRY,"Although what if it's one of those hugs where the shoulders are touching, the hips are eight feet apart?"
158,GEORGE,"That's so brutal, I hate that."
159,JERRY,Ya know how they do that?
160,GEORGE,"That's why, ya know, a shake is bad."
161,JERRY,"Shake is bad, but what if it's the ""two-hander""? The hand on the bottom, the hand on the top, the warm look in the eyes?"
162,GEORGE,Hand-sandwich.
163,JERRY,Right.
164,GEORGE,"I see, well, that's open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes...(suddenly a woman approaches Jerry from behind and puts her hands over Jerry's eyes)"
165,LAURA,Guess who?
166,JERRY,"Hey, hey."
167,LAURA AND JERRY,Heeeey! (they take each others hands like they're planning to do a folk dance; George is looking puzzled)
168,JERRY,It's good to see you.
169,LAURA,Hi.
170,JERRY,This is my friend George.
171,LAURA,"(shakes George's hand) Hi, how nice to meet you."
172,GEORGE,"Hi, how are you?"
173,JERRY,This is Laura.
174,GEORGE,"Laura, sure."
175,JERRY,(to Laura) I can't believe you're here.
176,GEORGE AND JERRY,"Ooh yeah, the bags, sure. (they pick up the bags)"
177,LAURA,"Oh, thank you."
178,JERRY,"(privately to George) Now that was an interesting greeting, did you notice that, George?"
179,GEORGE,"Yes, the ""surprise-blindfold-greeting"". That wasn't in the manual, I don't know. (Jerry's apartment. Jerry shows Laura the apartment)"
180,JERRY,"So uh, what do ya think?"
181,LAURA,"Ooohhh, wow! This place isn't so bad."
182,JERRY,"Yeah, it kind a motivates me to work on the road...So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?"
183,LAURA,"(laughs) Actually uhm, do you have any wine? JERRY; Uh, yeah, I think I do."
184,LAURA,"Oh, do, do you mind if I turn this down? (points to the lamp)"
185,JERRY,"Uh, no, yeah, go right ahead. (she turns down the lamp)"
186,LAURA,"Uh, Jerry, uh, I was wondering: would it be possible, and if it's not, fine, for me to stay here tomorrow night too?"
187,JERRY,"Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin' anything?"
188,LAURA,"No, I'd love to do something, uh, I have my seminar in the morning, then after that I'm right open."
189,JERRY,Really? What would you like to do?
190,LAURA,"Well...now I know this sounds touristy, but I'd just love to go on one of those five-hour-boat-rides around Manhattan."
191,JERRY,"(doubtfully) Yeah, we could do that...why not, why not. (pours the wine) I'm just, I'm really glad you're here. (the phone rings; he picks it up) Yeah, hello...yes...yes, she is, hold on. (to Laura) Uhm, it's for you."
192,LAURA,"(she takes the phone) Hello?...Hi!...no no it was great, right on time...no, I, I'm gonna stay here tomorrow...yes, yes it's fine..no, we're goin' on a boat-ride...don't be silly...I'm not gonna have this conversation...look I, I'll call you tomorrow...OK, bye (she hangs up the phone). Never get engaged."
193,JERRY,You're engaged?
194,LAURA,"You, you really have no idea what it's like until you actually do it and I'm on this emotional roller coaster."
195,JERRY,You're engaged? (still can't believe it)
196,LAURA,"Ya know, I can't believe it myself sometimes. You have to start thinking in terms of ""we"", uh, it's a very stressful situation."
197,JERRY,You're engaged! (like he's answering his own question)
198,LAURA,"Yeah...yeah, he's a great guy..."
199,JERRY,Yeah.
200,LAURA,"You'd really like him...ya know, I can't wait to get on that boat."
201,JERRY,Me too! (Comedy club.)
202,JERRY,"I swear, I have absolutely no idea what women are thinking. I don't get it, OK? I, I, I admit, I, I'm not getting the signals. I am not getting it! Women, they're so subtle, their little...everything they do is subtle...men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, that's it!...It's the only thing we know for sure, it really is: we want women. How do we get them? Oh, we don't know 'bout that, we don't know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas we've had so far...The car-horn-honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks: (imitates horn)."
203,THE END,
0,THE STAKEOUT,Written byLarry David & Jerry Seinfeld (Opening comedy)
1,JERRY,"So, I'm on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the (pause and gesture to audience for response)"
2,AUDIENCE,Cheque
3,JERRY,"Cheque. Now, the fact is, if it's a woman in front of you that's writing the cheque, you will not be waiting long. I have noticed that women are very *fast* with cheques, y'know, 'cuz they write out so many cheques. The keys, they can never find in their purse, they don't know where that is, but the cheque book they got that. They never fumble for book from an imaginary holster) ``Who do I make it out to?... There's my ID...''. There's something about a cheque that, to a man, is not masculine. I don't know exactly what it is... I think to a man, a cheque is like a note from your mother that says ``I don't have any money, but if you'll contact these people, I'm sure they'll stick up for me... If you just trust me this one time I don't have any money but I have these... I wrote on these; is this of any value at all?'' (End stand-up)"
4,JERRY,What's that one?
5,ELAINE,"""Coccoon II: The Return"". I guess they didn't like it up there..."
6,JERRY,"Maybe they came back for Chinese food. Y'know Maureen Stapleton, if she gets a craving, she's probably screamin' at those aliens, ""I gotta have a Lo mein!"""
7,ELAINE,"Okay, what're we doing here? I have seen *everything*."
8,JERRY,Oh yeah? I don't believe you've seen... this.
9,ELAINE,"Oh, lovely..."
10,JERRY,Yeah...
11,ELAINE,What do you think their parents think?
12,JERRY,"""So, uh, what's your son doing now, Dr. Stevens?"" ""Oh, he's a public fornicator. Yes, he's a fine boy..."""
13,ELAINE,Y'know what? This would be a really funny gift for Pamela's birthday.
14,JERRY,Pamela? Do I know her?
15,ELAINE,"Yeah, you met her when we were going out."
16,JERRY,"Oh yeah, right..."
17,ELAINE,"You have *no* idea who I'm talking about, do you?"
18,JERRY,(quickly) No.
19,ELAINE,Blonde hair remember? Glasses? (pause) Have you *totally* blocked out the entire time we were a couple?
20,JERRY,Riverside Drive.
21,ELAINE,"Right! In fact... No, never mind..."
22,JERRY,"Well, what is it?"
23,ELAINE,"Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... you don't want to go to... that... no."
24,JERRY,"Wait a second, wait a second. We could work out a little deal here."
25,ELAINE,What little deal?
26,JERRY,"I will go to that, if you go with me to a little family wedding I have on Saturday."
27,ELAINE,"A *wedding*!? Have you *lost* it, man?"
28,JERRY,"Y'know, my parents are coming in for this..."
29,ELAINE,They're coming in?
30,JERRY,"Yeah, tomorrow."
31,ELAINE,"Hey, did your father ever get that hair weave?"
32,JERRY,"No, no... Still doin' the big *sweep* across."
33,ELAINE,Why does he do that?
34,JERRY,Doesn't think anyone can tell?
35,JERRY,"So c'mon, do we have a deal?"
36,ELAINE,A *wedding*?
37,JERRY,There's a lot of people to mock...
38,ELAINE,"Alright, what the Hell."
39,JERRY,Great!
40,WOMAN,"When you're dead, you're dead. That's it. You're not goin' anywhere..."
41,ELAINE,"C'mon lets go, c'mon..."
42,JERRY,Was I supposed to bring something?
43,ELAINE,You could have.
44,JERRY,I met her *one* time...
45,ELAINE,It is not necessary.
46,JERRY,What did you say then?
47,ELAINE,Sssshhhhhh!!!
48,PAMELA,Hi
49,ELAINE,"Hi Pamela, you remember Jerry."
50,PAMELA,"Yes, we met."
51,JERRY,"Hi, happy birthday."
52,PAMELA,"Ahh, everybody, this is Elaine and Jerry."
53,GUESTS,Hi
54,JERRY,I didn't bring anything.
55,PAMELA,"Ahh, I put you two right here."
56,JERRY,"Oh, Okay (turns to rest of table) I'm sorry, I didn't know what to bring, nobody told me."
57,VANESSA,How big a tip do you think it'd take to get him to stop?
58,JERRY,I'm in for five...
59,VANESSA,I'll supply the hat.
60,JERRY,(To himself) Uh-oh... What do we have here...
61,VANESSA,Why don't you relax and take your jacket off?
62,JERRY,"Oh, I can't-- I have a tendency to get chilly."
63,VANESSA,How masculine...
64,JERRY,"Plus I'm wearing short sleeves, I don't want to expose my tattoos. (To himself) She's unbelievable!"
65,ROGER,"(To Vanessa) Hey, this guy says he knows Bricker..."
66,VANESSA,"Oh, you know Bricker! From where?"
67,JERRY,"(To himself) What's going on here? Gotta be her boyfriend, she's too good to be alone... What's the difference, I can't maneuver anyway with Elaine next to me..."
68,VANESSA,(To Jerry) How do you know Pamela?
69,JERRY,Friend of a friend. And you?
70,VANESSA,We went to law school together.
71,ELAINE,"Oh, Jerry!"
72,JERRY,"(To himself) Oh no, not *now*..."
73,ELAINE,I had this dream last night and you were in it.
74,JERRY,"Oh really... (To himself) Oh God, I gotta get out of this..."
75,ELAINE,"You were you, but, you weren't you..."
76,JERRY,"No kidding... (To himself) Why is this happening? Please, make her stop!"
77,ELAINE,"I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window--"
78,JERRY,(To himself) This is *brutal*...
79,ELAINE,You turned around and you had these wooden teeth...
80,JERRY,"How do you like that... (To himself) Can I turn now? Is this over? No, I can't, I can't... I'm stuck..."
81,ELAINE,Jerry? Are you listening to me?
82,JERRY,"Yes, I *heard* you."
83,PAMELA,"Elaine, what's the name of that jewelry store you took me to that time?"
84,JERRY,"(To himself) Thank *you*, Pamela!"
85,JERRY,"(To Vanessa) So, you're a lawyer..."
86,VANESSA,"Sagman, Bennet, Robbins, Oppenheim and Taft."
87,JERRY,"(To himself, quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft... (To Vanessa) Of course, they handled my tattoo removal lawsuit!"
88,VANESSA,"Oh, that was you!"
89,JERRY,"Imagine, spelling ""Mom"" with two O's..."
90,VANESSA,Very funny! What do you do?
91,JERRY,Comedian.
92,VANESSA,Really... That explains it...
93,JERRY,"(To himself, quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft."
94,ROGER,Are you ready?
95,VANESSA,We gotta run. Happy birthday!
96,JERRY,(To himself) I can't believe it-- I got *nothing*! I don't even know her name!
97,JERRY,"(To himself, *very* quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag..."
98,JERRY,"That wasn't so bad, really..."
99,ELAINE,"Y'know, uh, you could use a little work on your manners."
100,JERRY,Why? What did I do?
101,ELAINE,"Well, I just don't appreciate these little ""courtesy responses"", like I'm selling you aluminum siding."
102,JERRY,I was listening!
103,ELAINE,"No! You couldn't wait to get back to your little... ""conversation""."
104,JERRY,"No, you were talking about the, the um, the dream you had."
105,ELAINE,Uh-huh...
106,JERRY,"Where you had, uh, wooden teeth."
107,ELAINE,"No! No! *You* had wooden teeth! *You* had wooden teeth! *I* didn't have wooden teeth, *you* did!"
108,JERRY,"Alright, so *I* had wooden teeth, so what?"
109,ELAINE,So nothing... Nothing...
110,JERRY,"Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said ``Yeah, I got this new thing-- ""platonic"". My idea, my name, callin' it after myself... What I do is, I go *out* with the girls, I *talk* with them-- don't *do* anything... and go right home. What'dya think? I think it's going to be *big*!'' I bet you there were other guys in history that tried to get relationships named after them, but it didn't work. Y'know, I bet Rico. Would you like to go to bed immediately? Hey, it's a *""Riconic""* relationship...''"
111,JERRY,Hey!
112,MORTY,"Ah, there he is!"
113,JERRY,"This is what I like, see? You come home and your parents are in your bed!"
114,HELEN,"Y'know, Jerry, we don't have to do this..."
115,JERRY,"What are you talkin' about? It's fine, I love having you here..."
116,HELEN,Tomorrow we'll go to a hotel.
117,JERRY,"Ma, will you stop?"
118,HELEN,"No, why should we take over your apartment?"
119,JERRY,I don't care-- I'm sleeping next door.
120,HELEN,Your friend Kramer doesn't mind?
121,JERRY,"No, he's making a bouillabaisse."
122,JERRY,"So Dad, lemme ask you a question. How many people work at these big law offices?"
123,MORTY,Depends on the firm.
124,JERRY,"Yeah, but if you called up and described someone, do you think they would know who it was?"
125,MORTY,What's the matter? You need a lawyer?
126,JERRY,"No, I met someone at this party, and I know where she works, but I don't know her name."
127,MORTY,So why don't you ask someone who was at the party?
128,JERRY,"Nah, the only one I could ask is Elaine, and I can't ask her."
129,HELEN,Why not?
130,JERRY,Because it's complicated-- there's some tension there.
131,HELEN,He used to go with her...
132,HELEN,Which one is she?
133,MORTY,From Maryland. The one who brought you the chocolate covered cherries you didn't like.
134,MORTY,"Oh yeah, very alert. Warm person."
135,JERRY,"Oh yeah, she's great."
136,HELEN,"So, how come nothing materialized there?"
137,JERRY,"Well, it's a tough thing to talk about... I dunno..."
138,HELEN,I know what it was...
139,JERRY,You don't know what it was...
140,HELEN,"So, what was it?"
141,JERRY,"Well, we fight a lot for some reason..."
142,H + M,"Oh, well..."
143,JERRY,And there was a little problem with the physical chemistry...
144,HELEN,"Well, I think she's a very attractive girl."
145,JERRY,"Oh, she is, she absolutely is."
146,HELEN,I can see if there was a *weight* problem...
